Probeset	"Mix A (0% tumor, 0% noise)"	"Mix B (0% tumor, 0% noise)"	"Mix C (0% tumor, 0% noise)"	"Mix D (0% tumor, 0% noise)"	"Mix A (30% tumor, 0% noise)"	"Mix B (30% tumor, 0% noise)"	"Mix C (30% tumor, 0% noise)"	"Mix D (30% tumor, 0% noise)"	"Mix A (60% tumor, 0% noise)"	"Mix B (60% tumor, 0% noise)"	"Mix C (60% tumor, 0% noise)"	"Mix D (60% tumor, 0% noise)"	"Mix A (90% tumor, 0% noise)"	"Mix B (90% tumor, 0% noise)"	"Mix C (90% tumor, 0% noise)"	"Mix D (90% tumor, 0% noise)"	"Mix A (0% tumor, 30% noise)"	"Mix B (0% tumor, 30% noise)"	"Mix C (0% tumor, 30% noise)"	"Mix D (0% tumor, 30% noise)"	"Mix A (30% tumor, 30% noise)"	"Mix B (30% tumor, 30% noise)"	"Mix C (30% tumor, 30% noise)"	"Mix D (30% tumor, 30% noise)"	"Mix A (60% tumor, 30% noise)"	"Mix B (60% tumor, 30% noise)"	"Mix C (60% tumor, 30% noise)"	"Mix D (60% tumor, 30% noise)"	"Mix A (90% tumor, 30% noise)"	"Mix B (90% tumor, 30% noise)"	"Mix C (90% tumor, 30% noise)"	"Mix D (90% tumor, 30% noise)"	"Mix A (0% tumor, 60% noise)"	"Mix B (0% tumor, 60% noise)"	"Mix C (0% tumor, 60% noise)"	"Mix D (0% tumor, 60% noise)"	"Mix A (30% tumor, 60% noise)"	"Mix B (30% tumor, 60% noise)"	"Mix C (30% tumor, 60% noise)"	"Mix D (30% tumor, 60% noise)"	"Mix A (60% tumor, 60% noise)"	"Mix B (60% tumor, 60% noise)"	"Mix C (60% tumor, 60% noise)"	"Mix D (60% tumor, 60% noise)"	"Mix A (90% tumor, 60% noise)"	"Mix B (90% tumor, 60% noise)"	"Mix C (90% tumor, 60% noise)"	"Mix D (90% tumor, 60% noise)"	"Mix A (0% tumor, 90% noise)"	"Mix B (0% tumor, 90% noise)"	"Mix C (0% tumor, 90% noise)"	"Mix D (0% tumor, 90% noise)"	"Mix A (30% tumor, 90% noise)"	"Mix B (30% tumor, 90% noise)"	"Mix C (30% tumor, 90% noise)"	"Mix D (30% tumor, 90% noise)"	"Mix A (60% tumor, 90% noise)"	"Mix B (60% tumor, 90% noise)"	"Mix C (60% tumor, 90% noise)"	"Mix D (60% tumor, 90% noise)"	"Mix A (90% tumor, 90% noise)"	"Mix B (90% tumor, 90% noise)"	"Mix C (90% tumor, 90% noise)"	"Mix D (90% tumor, 90% noise)"
1554733_at	47.694299	255.7577099	554.6971174	340.3949254	34.65616186	180.3005495	389.5581348	239.5466003	21.61802472	104.8433891	224.4191521	138.6982753	8.579887575	29.38622867	59.28016942	37.84995022	46.70432896	255.1087935	554.2788376	340.2699426	33.87200833	560.9186419	734.4551506	239.5872927	20.62127879	104.0884316	223.8566737	138.9363347	9.085136076	28.38904408	71.52627403	37.81458557	539.2403864	255.1596058	619.6048688	344.9176768	33.66193911	453.7013772	389.0028278	253.9310913	30.33619341	103.8513211	223.4374652	145.6242444	7.604667214	35.54227827	138.8392741	199.585229	51.27966897	618026.5658	562.6151365	386.6819927	274.7790214	179.3434792	392.8634	481.1399602	20.62971629	103.8437418	223.4906148	3111.164092	7.579887895	548115.5746	136.1249888	36.8502074
1554892_a_at	4232.504522	2550.61515	4191.998221	4534.844882	2971.256437	1793.933876	2942.902026	3182.894689	1710.008352	1037.252603	1693.805832	1830.944496	448.7602671	280.5713299	444.709637	478.9943031	4238.939312	2549.96676	4207.077689	4537.363924	2970.681246	1795.481294	2941.968994	3181.960188	1709.121907	1036.378214	1693.473281	1830.001743	448.3165334	285.6587631	446.4482855	576.483191	134784.9871	2549.620349	315915.1349	4533.847286	2971.479269	1792.93573	2942.045758	3182.445308	1709.731448	1147.110059	1692.854998	1829.947143	454.8696977	473.027688	453.1409348	477.9943185	4231.516309	2549.63091	4190.999951	4533.922338	3009.049799	1792.954343	2941.971342	2451252.337	37216.74824	25467.54442	1912.669096	1953.286543	447.7602712	279.5723313	444.1068742	1084.085168
1554899_s_at	2141.606603	1169.738089	1801.089881	2053.042142	1521.711027	841.403067	1283.349321	1459.715904	901.8154506	513.068045	765.6087618	866.3896661	281.9198743	184.7330229	247.8682021	273.0634282	2141.382671	1169.298695	1830.556459	2052.113758	1520.919964	841.9216435	1292.696746	1459.099164	903.1816923	512.3619345	1095.561695	867.4473434	281.0411575	184.5782701	247.2748779	273.5362366	2153.525802	1168.738519	2240.085262	2052.149503	1520.839069	840.4726435	4424.253752	1460.507695	967.249843	1176.34406	768.617528	1610.00491	280.9409863	183.7342649	246.8682421	12515.06262	2140.87729	1170.403475	19616.55361	2052.103124	15912.19923	840.4248928	1282.349326	2756.261144	902.6466669	512.4062028	764.6156432	872.5253105	280.9201997	7016461.957	86718.95175	906.4706229
1555613_a_at	1115.262048	347.5573479	162.3044991	94.89296551	784.1259033	246.7326133	117.0556191	69.86754562	452.9897587	145.9078787	71.80673914	44.84212572	121.8536141	45.08314406	26.55785918	19.81670583	1117.750612	346.8046788	161.3379706	94.13750922	788.9245044	245.8868907	116.6874126	75.17093308	485.6224995	148.3262582	78.98396435	45.2511028	126.0727074	44.5319245	53.84057472	19.28442055	1117.926353	346.6438155	406.3863542	96.13887903	783.1261663	245.7473173	393.1423304	68.97790729	453.3253692	144.9546061	99.46660763	43.99508093	120.8537086	819.9858654	32.51521292	24.34978149	1114.598816	346.5602068	164.6370517	130.0418772	783.1323217	245.7326201	280.6497863	83.98645449	451.9990426	145.0737052	70.80728308	43.8705623	510.570572	696.0749563	564.9895155	18.83400817
1555756_a_at	70.6422568	162.3558751	62.42809345	48.93639075	64.68396667	128.8834995	58.93405232	49.48986043	58.72567654	95.41112386	55.44001119	50.04333012	52.76738641	61.93874824	51.94597007	50.5967998	71.36743268	161.7708383	61.69610067	48.16687674	63.81289492	128.2899826	59.68523596	50.39358856	59.33462965	96.37034877	58.40193992	57.39999093	53.95556055	64.53497775	52.19150793	49.63906839	69.7490192	161.3754792	61.50586783	68.37991304	64.30916043	127.9069656	111.854908	50.65702951	71.10392004	97.58643867	54.44018785	61.79983526	52.11394483	1690.52563	51.79793892	56.63859344	596.4885382	161.3558752	61.43371248	48.23122752	64.01205302	127.8898255	59.89447089	9877.375604	61.77249348	94.61888287	54.60481888	9329.225121	857.8953356	509.0087087	393.6307879	929.4283525
1555800_at	3.768452557	7.760229747	3.99934663	4.781265071	378.0751112	380.8693552	378.236737	378.78408	752.3817698	753.9784807	752.4741275	752.7868948	1126.688428	1127.087606	1126.711518	1126.78971	4.562664338	14.73276808	3.039716198	7.360505623	377.237371	379.9128731	639.0032077	377.8467099	752.1745371	812.4891127	751.6792788	769.2818471	1127.913088	1126.326585	1134.899091	1125.845602	3.209471935	8.300615375	69.32610994	3.787987371	8465.710239	379.8800525	404.0192979	377.9051748	2098.289214	752.978494	751.4770017	751.8360624	1125.790214	1199.276744	1125.878305	1125.913158	3.001372224	6.805155926	44199.86782	3.912656874	377.2363489	379.8703868	381.0913561	379.3243278	751.401451	752.9801226	756.0964807	752.0193427	1133.085566	1128.161547	1128.731716	1125.790606
1555935_s_at	450.6804078	76.40987586	35.63973823	26.48468471	344.488377	82.4990047	53.95990836	47.5513709	238.2963463	88.58813354	72.28007849	68.61805708	132.1043156	94.67726238	90.60024862	89.68474326	475.735817	76.91609147	35.85811057	25.54783154	362.4497698	217.8698528	54.53198048	47.27009279	242.0144404	90.04337057	71.53677227	69.18279777	131.5882395	94.22475046	89.95312264	89.4149235	449.6946744	81.18105587	43.6198382	36.79327067	388.4947487	82.25566781	53.02370647	46.91340911	27328.39651	91.7814936	472.1142031	85.35616093	131.1195677	25739.00584	90.24050461	179.6772731	12497308.2	75.40988473	42586.63245	213442663.6	344.1626081	81.6663723	53.71216241	46.55137181	238.9383979	87.58813402	71.28008235	67.66898725	131.1049608	93.93200087	90.38119694	248.8425461
1556037_s_at	1549.728483	413.7478327	99.19099322	24.69318562	1086.458675	291.2722203	71.08243262	18.93396731	623.1888679	168.7966078	42.97387203	13.17474899	159.9190604	46.32099538	14.86531144	7.415530678	1574.917167	420.264399	100.1385215	23.84484885	1090.410116	290.4472839	73.74528411	17.99265674	622.4083509	168.1033899	56.64207534	128.1619069	161.3578403	46.11608826	33.43733985	47.1652049	1548.74426	414.1590216	580.2474966	24.12183598	1087.17134	290.2722224	70.08249598	578.2700061	622.2454794	225.6746799	46.05276849	12.17496151	158.9266972	45.32548658	14.7793653	6.417742844	1548.848097	412.7479103	98.19201775	47.27125617	2293.763916	290.3583059	70.27875744	20.36868575	622.2360461	167.7966121	43.44190353	12.18067777	158.9251643	45.32099794	13.86659268	6.41593358
1556095_at	360.9204481	1171.156954	2230.865014	1218.581289	254.0052555	821.1708099	1562.966452	854.3678439	147.0900629	471.1846654	895.0678894	490.1543991	40.17487034	121.198521	227.1693269	125.9409544	428.9062639	1170.857979	2229.940963	1218.268595	279.0461818	820.2503949	1562.280115	853.3708429	148.1192984	471.6199363	894.2120428	489.9944353	40.64764139	122.1244464	237.6341864	130.940161	368.3219217	1170.976837	2230.10609	1217.595299	253.006806	822.2607052	1969200.962	853.3711879	755.5259984	470.2851549	894.2383957	520.7218647	39.4493888	120.5078055	238.1189187	126.2308216	359.9217541	1170.311724	36205.96223	1223.510793	253.0206067	820.2018636	1704.101193	854.6978681	146.0933386	470.5226185	929.3165689	497.2511513	39.18277798	120.2021202	226.1695674	71262.7017
1556096_s_at	431.5966357	1651.362102	3010.295884	1936.962275	303.9925546	1157.828381	2109.082029	1357.748502	176.3884736	664.2946602	1207.868173	778.5347293	48.78439249	170.7609391	306.6543173	199.3209564	431.4244987	1650.437438	3009.461467	1936.347014	347.9529273	1163.219868	2141.72047	1483.176814	180.8073132	672.9369644	1223.362878	788.6857936	51.74009612	169.8708347	307.38388	199.6754623	430.5989305	1650.365384	3084.713592	1947.205151	303.0083801	1402.639894	2108.645689	1356.78069	416.738965	679.8724966	1206.871197	815.3691278	47.81319955	169.8306649	305.9134509	3102.302574	430.5966417	2867.818758	3182.82614	1936.092324	303.2402002	1156.850704	2119.706229	4295.257738	175.3884792	663.3410732	1206.8682	837.3446123	47.84669563	169.760963	321.3768806	228.4857755
1556395_at	512.5893108	120.7740678	23.58661731	9.392660179	359.5427551	85.27208505	17.24086968	7.305099689	206.4961994	49.77010226	10.89512205	5.217539198	53.44964377	14.26811947	4.549374422	3.129978708	512.7365209	203.958892	32.71960831	8.599394771	394.9499815	86.33110964	16.24263713	6.795655693	205.7255667	49.78085637	10.1064417	9.568869901	52.45988443	14.55757092	5.862142984	4.219130803	512.6417057	125.3895602	35.8657525	590.1048576	359.7958441	84.39799169	16.28938943	6.362866886	205.4978393	48.88999894	227.9953778	4.262733858	1270.826627	13.2700407	3.668664009	6.925525789	2096.304314	119.8114433	1885.020191	9.112687689	366.7248607	310.0671549	458.4853347	6.305112475	205.4962079	5683.135674	9.91566298	4.218685079	52.449646	20.60432459	8.37693848	2.134608036
1556598_at	249.7529288	64.21540409	22.1840777	2.00254045	177.3513044	47.47503711	18.05310864	3.926032566	104.94968	30.73467014	13.92213958	5.849524682	32.54805563	13.99430316	9.791170523	7.773016798	250.8514166	66.43065884	22.17703668	1.408063631	176.5451431	51.12758244	19.18625944	3.188099405	106.3581123	29.83212337	12.93467422	6.101474652	31.57269316	13.19289041	9.212263851	8.202741594	250.1837091	63.21810698	21.18408592	46.1052162	176.3602662	46.48816896	139999.2221	4.039197639	104.0297071	31.93412429	186.8520553	359.2128141	42.15611775	13.36678533	9.149437804	9.607039103	248.7532709	421643.5925	41.0049638	56873.25526	176.3513075	85.73227612	17.64258864	3.426780789	104.5554278	30.66919921	408.009169	20.17925822	31.54813312	12.99430316	8.797104711	42.99985566
1556599_s_at	558.8653912	173.6728249	50.33608145	70.07316046	394.3702967	124.7355003	38.3997799	52.21573521	229.8752022	75.79817575	26.46347836	34.35830996	65.38010778	26.86085116	14.52717681	16.50088471	568.5462267	185.6415311	52.08475486	74.38596428	393.9424156	123.8437595	39.1843888	52.30251416	230.2252946	74.83084285	27.23768885	37.19092575	64.41359841	27.91232591	46.56629103	83.51328785	558.8216435	173.6465197	49.33617405	69.10062326	393.3763373	123.7361659	37.39978589	66.25045731	229.8326354	17114.1068	25.47756871	33.3705319	64.38230449	26.40208235	1133.795828	59.5620355	559.3843219	172.7880127	49.53518856	901.3367009	393.3702968	1388.797924	37.65044066	73.21097528	939.6414658	74.96303937	25.46374538	1047.755445	64.3801079	26.05825544	13.53325203	59214.51788
1557177_at	114.7830571	195.9615033	82.37236736	222.7743615	98.29261915	155.1175315	75.60513632	173.8865322	81.80218118	114.2735596	68.83790527	124.9987029	65.3117432	73.42958782	62.07067423	76.11087364	113.8964406	213.2034157	85.08442013	222.8413511	108.204309	173.7860669	76.95989229	173.9009172	82.48662559	113.6721901	68.0406744	124.9345454	66.05527307	75.18953411	121.7016719	83.75554989	113.7973492	194.9743502	81.37237496	221.9724907	98.7493146	7718.030023	74.60567531	172.9168898	80.82078872	114.1187976	67.84433239	1276.811536	68.91206046	74.0426126	1482.093581	78.06349907	113.7830571	195.0538313	154.6344496	221.8152683	97.29397268	1646.561631	163.3494058	210.9009296	80.81350038	119.0756813	67.83817832	126.1115941	71272.6306	72.44914139	61.07670481	75.11388147
1557919_a_at	8289.217795	4531.611686	6606.98501	7821.950816	5817.753664	3187.429388	4640.190714	5490.666778	3346.289532	1843.247089	2673.396419	3159.382741	874.8254014	499.0647906	706.602123	828.0987036	8289.981813	4531.160392	6633.372052	7820.980093	5829.85957	3187.131833	4639.252805	5489.704202	3353.067489	1843.07325	2691.072286	3249.023214	873.8870793	498.2157502	705.8481972	827.341981	8424.495218	4530.622123	6610.717695	7951.891551	5842.960783	3208.502587	4639.190979	5491.375269	3523.226429	1842.247092	2703.807224	3158.933699	873.870258	498.0648083	705.6026738	849.0586816	8288.219441	4530.611687	6612.31924	7898.120798	5817.08161	3186.429388	4639.19073	5490.128965	3345.289607	10506.07599	2843.322075	3158.382813	7359.881684	498.0698866	705.6021232	827.1728148
1558826_at	31.97535343	140.3218694	13.33839804	22.19178738	28.48632936	104.3288906	15.44046058	21.63783312	24.99730528	68.33591168	17.54252313	21.08387886	21.50828121	32.34293281	19.64458567	20.5299246	47.98772251	143.73012	13.82126828	44.38219116	169.1476171	109.9951714	15.32850941	20.7127598	24.05277234	69.33737239	19.41160851	20.08998989	20.56972737	31.38816959	19.57361491	20.8587312	32.53361147	146.4034585	12.33859781	101.0803263	40.42969854	103.7505745	14.44048519	134.5403697	116.6441254	202.1211742	17.81887982	20.08604612	80.27540596	31.38039447	18.69281281	19.74465074	133.546948	14278.91923	2552.299142	21.76793088	27.48634993	103.9296045	14.52724689	20.63796414	24.02716181	467.4717311	16.54265031	6439.334825	754.4889687	32.65531529	1197488.131	19.53222187
1558856_at	2513.628297	1177.644821	2258.92422	2109.644536	1776.439378	841.2509453	1598.146524	1493.650746	1039.25046	504.8570695	937.368829	877.6569554	302.0615412	168.4631937	276.5911336	261.6631652	2512.686607	1176.845915	2260.887325	2111.810994	1775.673692	852.5422403	1619.616925	1492.715857	1047.526747	503.8615304	937.0415921	876.6633645	301.9035704	172.7618866	292.9215307	266.9140164	2525.220591	1176.667503	2262.310167	2141.702487	1783.826863	845.6637254	1603.666047	1493.829937	1042.096693	504.1566602	937.9994475	920.9943619	301.0890142	167.4674532	280.3172438	1330.306279	2512.997733	4697.106928	2258.065295	2108.699712	1783.88901	840.3012801	1597.14674	8012.389228	1038.26793	504.1550676	936.4017625	876.69058	527.379599	481.444504	275.6098493	7635.176658
1558971_at	480.3269688	157.4441522	58.34863314	50.70924782	340.0763541	114.0583825	44.69151917	39.34394945	199.8257395	70.67261284	31.0344052	27.97865107	59.5751248	27.28684314	17.37729123	16.6133527	479.7755194	156.4584285	73.34490067	51.63025786	341.2661566	113.1724104	44.71017485	40.80166573	203.0070744	70.17602343	32.79698772	94.77767545	58.64236374	26.43108194	16.62709231	19.29411872	528.0646928	156.4449223	60.68027699	49.70956298	339.0790378	132.8352701	164.8770818	38.34410156	198.8259252	834.1700623	30.04472078	27.01412896	58.90278993	31.51013168	16.38063025	15.65940883	479.3272228	157.6144971	110.7536833	51.18791469	339.5052577	573.7379709	43.71189897	38.6164408	530.9833319	69.81477433	52.38709951	27.77743504	59.36362558	32.40285406	81.1169423	51.83695863
1558972_s_at	331.0260103	161.2329716	36.83480326	49.22522533	238.1162725	119.2611454	32.18242755	40.85572299	145.2065347	77.28931916	27.53005183	32.48622065	52.29679682	35.31749294	22.87767611	24.11671831	330.5813338	160.3076024	37.44711898	48.35076329	237.5595605	120.3900342	32.0323192	40.08198099	146.5125422	76.32543167	37.73292108	111.5057873	51.80241928	34.32535504	22.05809463	53.90205046	371.5109186	160.2787304	36.73270041	48.24886053	720.2790777	118.2615719	931.7537981	40.18223799	164.9971535	76.29727974	26.6422827	81312.26003	55.61515264	35.62033854	22.63796057	23.38650494	351.0705391	246490.2072	35.83488283	1039.453199	264.4181317	3188.986974	31.18243528	2500.284964	144.2197385	87.97545834	29.21144577	34.20541258	51.31230424	14233134.41	21423.39575	23.11777425
